show_id,ticket_no,film_id,film,director,director_id,genre,cinema_id,city,viewer_id,first_name,last_name,email,session,seat_no
SHOW00038,TKT0045,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C005,Dunedin,V022,Amelia,Brown,amelia.brown22@mail.com,10:00 am,B10
SHOW00057,TKT0046,F003,Midnight Escape,David Fincher,D003,Thriller,C004,Hamilton,V023,Isla,Young,isla.young23@mail.com,7:30 pm,A18
SHOW00049,TKT0047,F003,Midnight Escape,David Fincher,D003,Thriller,C002,Wellington,V042,Nathan,Walker,nathan.walker42@mail.com,4:00 pm,F19
SHOW00155,TKT0048,F008,Broken Paths,Sofia Coppola,D006,Drama,C002,Wellington,V016,Sienna,Perera,sienna.perera16@mail.com,1:00 pm,B6
SHOW00071,TKT0049,F004,The Last Kingdom,Ridley Scott,D004,Action,C002,Wellington,V003,Liam,Fernando,liam.fernando3@mail.com,7:30 pm,G4
SHOW00065,TKT0050,F004,The Last Kingdom,Ridley Scott,D004,Action,C001,Auckland,V052,Liam,Scott,liam.scott52@mail.com,4:00 pm,C2
SHOW00150,TKT0051,F008,Broken Paths,Sofia Coppola,D006,Drama,C001,Auckland,V029,Mason,Scott,mason.scott29@mail.com,1:00 pm,B7
SHOW00169,TKT0052,F008,Broken Paths,Sofia Coppola,D006,Drama,C005,Dunedin,V022,Amelia,Brown,amelia.brown22@mail.com,1:00 pm,A8
SHOW00100,TKT0053,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C005,Dunedin,V041,Sophia,Wilson,sophia.wilson41@mail.com,10:00 am,F13
SHOW00081,TKT0054,F004,The Last Kingdom,Ridley Scott,D004,Action,C005,Dunedin,V058,Noah,Roberts,noah.roberts58@mail.com,1:00 pm,G7
SHOW00157,TKT0055,F008,Broken Paths,Sofia Coppola,D006,Drama,C002,Wellington,V069,Isla,Perera,isla.perera69@mail.com,7:30 pm,F4
SHOW00122,TKT0056,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C005,Dunedin,V065,Leo,Patel,leo.patel65@mail.com,10:00 am,D2
SHOW00044,TKT0057,F003,Midnight Escape,David Fincher,D003,Thriller,C001,Auckland,V052,Liam,Scott,liam.scott52@mail.com,4:00 pm,E16
SHOW00156,TKT0058,F008,Broken Paths,Sofia Coppola,D006,Drama,C002,Wellington,V011,Olivia,Brown,olivia.brown11@mail.com,4:00 pm,B18
SHOW00060,TKT0059,F003,Midnight Escape,David Fincher,D003,Thriller,C005,Dunedin,V033,Daniel,Scott,daniel.scott33@mail.com,4:00 pm,D18
SHOW00075,TKT0060,F004,The Last Kingdom,Ridley Scott,D004,Action,C003,Christchurch,V002,Amelia,Lee,amelia.lee2@mail.com,7:30 pm,E19
SHOW00056,TKT0061,F003,Midnight Escape,David Fincher,D003,Thriller,C004,Hamilton,V064,Amelia,Walker,amelia.walker64@mail.com,4:00 pm,C9
SHOW00151,TKT0062,F008,Broken Paths,Sofia Coppola,D006,Drama,C001,Auckland,V035,Grace,Walker,grace.walker35@mail.com,4:00 pm,F14
SHOW00075,TKT0063,F004,The Last Kingdom,Ridley Scott,D004,Action,C003,Christchurch,V017,Daniel,King,daniel.king17@mail.com,7:30 pm,C17
SHOW00068,TKT0064,F004,The Last Kingdom,Ridley Scott,D004,Action,C002,Wellington,V050,Grace,Perera,grace.perera50@mail.com,10:00 am,B10
SHOW00082,TKT0065,F004,The Last Kingdom,Ridley Scott,D004,Action,C005,Dunedin,V031,Leo,Young,leo.young31@mail.com,4:00 pm,G12
SHOW00010,TKT0066,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C002,Wellington,V023,Isla,Young,isla.young23@mail.com,9:45 pm,B6
SHOW00073,TKT0067,F004,The Last Kingdom,Ridley Scott,D004,Action,C003,Christchurch,V051,Mason,Smith,mason.smith51@mail.com,10:00 am,G10
SHOW00100,TKT0068,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C005,Dunedin,V030,Sienna,Scott,sienna.scott30@mail.com,10:00 am,F1
SHOW00122,TKT0069,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C005,Dunedin,V030,Sienna,Scott,sienna.scott30@mail.com,10:00 am,G2
SHOW00034,TKT0070,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C003,Christchurch,V046,Olivia,Perera,olivia.perera46@mail.com,9:45 pm,D11
SHOW00096,TKT0071,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C003,Christchurch,V036,Liam,Chen,liam.chen36@mail.com,7:30 pm,B20
SHOW00137,TKT0072,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C003,Christchurch,V053,Ava,Smith,ava.smith53@mail.com,10:00 am,B15
SHOW00057,TKT0073,F003,Midnight Escape,David Fincher,D003,Thriller,C004,Hamilton,V016,Sienna,Perera,sienna.perera16@mail.com,7:30 pm,C12
SHOW00119,TKT0074,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C004,Hamilton,V003,Liam,Fernando,liam.fernando3@mail.com,1:00 pm,C20
SHOW00166,TKT0075,F008,Broken Paths,Sofia Coppola,D006,Drama,C004,Hamilton,V044,Olivia,Perera,olivia.perera44@mail.com,7:30 pm,E13
SHOW00012,TKT0076,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C004,Hamilton,V016,Sienna,Perera,sienna.perera16@mail.com,10:00 am,G4
SHOW00096,TKT0077,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C003,Christchurch,V052,Liam,Scott,liam.scott52@mail.com,7:30 pm,D11
SHOW00052,TKT0078,F003,Midnight Escape,David Fincher,D003,Thriller,C003,Christchurch,V056,Lucas,Taylor,lucas.taylor56@mail.com,1:00 pm,G19
SHOW00045,TKT0079,F003,Midnight Escape,David Fincher,D003,Thriller,C001,Auckland,V069,Isla,Perera,isla.perera69@mail.com,7:30 pm,B11
SHOW00102,TKT0080,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C005,Dunedin,V040,Daniel,Young,daniel.young40@mail.com,4:00 pm,B3
SHOW00165,TKT0081,F008,Broken Paths,Sofia Coppola,D006,Drama,C004,Hamilton,V022,Amelia,Brown,amelia.brown22@mail.com,4:00 pm,G8
SHOW00013,TKT0082,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C004,Hamilton,V064,Amelia,Walker,amelia.walker64@mail.com,1:00 pm,D6
SHOW00093,TKT0083,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C003,Christchurch,V006,Daniel,Young,daniel.young6@mail.com,10:00 am,G2
SHOW00159,TKT0084,F008,Broken Paths,Sofia Coppola,D006,Drama,C003,Christchurch,V069,Isla,Perera,isla.perera69@mail.com,1:00 pm,B12
SHOW00147,TKT0085,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C005,Dunedin,V028,Ethan,King,ethan.king28@mail.com,4:00 pm,A20
SHOW00065,TKT0086,F004,The Last Kingdom,Ridley Scott,D004,Action,C001,Auckland,V061,Lucas,Wilson,lucas.wilson61@mail.com,4:00 pm,F5
SHOW00040,TKT0087,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C005,Dunedin,V031,Leo,Young,leo.young31@mail.com,4:00 pm,F18
SHOW00133,TKT0088,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C002,Wellington,V013,Leo,Perera,leo.perera13@mail.com,1:00 pm,G16
SHOW00090,TKT0089,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C002,Wellington,V016,Sienna,Perera,sienna.perera16@mail.com,4:00 pm,C5
SHOW00110,TKT0090,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C002,Wellington,V008,Daniel,Scott,daniel.scott8@mail.com,10:00 am,B10
SHOW00140,TKT0091,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C003,Christchurch,V021,Ethan,Walker,ethan.walker21@mail.com,7:30 pm,A3
SHOW00063,TKT0092,F004,The Last Kingdom,Ridley Scott,D004,Action,C001,Auckland,V023,Isla,Young,isla.young23@mail.com,10:00 am,B11
SHOW00134,TKT0093,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C002,Wellington,V039,Olivia,Brown,olivia.brown39@mail.com,4:00 pm,G16
SHOW00032,TKT0094,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C003,Christchurch,V052,Liam,Scott,liam.scott52@mail.com,4:00 pm,F19
SHOW00067,TKT0095,F004,The Last Kingdom,Ridley Scott,D004,Action,C001,Auckland,V065,Leo,Patel,leo.patel65@mail.com,9:45 pm,D14
SHOW00091,TKT0096,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C002,Wellington,V052,Liam,Scott,liam.scott52@mail.com,7:30 pm,A5
SHOW00152,TKT0097,F008,Broken Paths,Sofia Coppola,D006,Drama,C001,Auckland,V032,Noah,Lee,noah.lee32@mail.com,7:30 pm,F1
SHOW00168,TKT0098,F008,Broken Paths,Sofia Coppola,D006,Drama,C005,Dunedin,V035,Grace,Walker,grace.walker35@mail.com,10:00 am,A5
SHOW00139,TKT0099,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C003,Christchurch,V025,Grace,Singh,grace.singh25@mail.com,4:00 pm,E11
SHOW00106,TKT0100,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C001,Auckland,V054,Mia,Wilson,mia.wilson54@mail.com,1:00 pm,A9
SHOW00101,TKT0101,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C005,Dunedin,V064,Amelia,Walker,amelia.walker64@mail.com,1:00 pm,D3
SHOW00008,TKT0102,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C002,Wellington,V026,Isla,Taylor,isla.taylor26@mail.com,4:00 pm,D4
SHOW00154,TKT0103,F008,Broken Paths,Sofia Coppola,D006,Drama,C002,Wellington,V001,Grace,Chen,grace.chen1@mail.com,10:00 am,A8
SHOW00080,TKT0104,F004,The Last Kingdom,Ridley Scott,D004,Action,C005,Dunedin,V037,Lucas,Chen,lucas.chen37@mail.com,10:00 am,D8
SHOW00032,TKT0105,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C003,Christchurch,V023,Isla,Young,isla.young23@mail.com,4:00 pm,G2
SHOW00170,TKT0106,F008,Broken Paths,Sofia Coppola,D006,Drama,C005,Dunedin,V057,Isla,Patel,isla.patel57@mail.com,4:00 pm,E9
SHOW00109,TKT0107,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C001,Auckland,V067,Jack,Young,jack.young67@mail.com,9:45 pm,G10
SHOW00096,TKT0108,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C003,Christchurch,V043,Ruby,Young,ruby.young43@mail.com,7:30 pm,B17
SHOW00167,TKT0109,F008,Broken Paths,Sofia Coppola,D006,Drama,C004,Hamilton,V060,Lucas,Wilson,lucas.wilson60@mail.com,9:45 pm,C5
SHOW00039,TKT0110,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C005,Dunedin,V007,Emma,Patel,emma.patel7@mail.com,1:00 pm,D6
SHOW00017,TKT0111,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C005,Dunedin,V066,Ava,Smith,ava.smith66@mail.com,1:00 pm,E17
SHOW00135,TKT0112,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C002,Wellington,V005,Emma,Taylor,emma.taylor5@mail.com,7:30 pm,B17
SHOW00019,TKT0113,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C005,Dunedin,V006,Daniel,Young,daniel.young6@mail.com,7:30 pm,E1
SHOW00090,TKT0114,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C002,Wellington,V059,Daniel,Lee,daniel.lee59@mail.com,4:00 pm,C17
SHOW00162,TKT0115,F008,Broken Paths,Sofia Coppola,D006,Drama,C003,Christchurch,V049,Sienna,Wilson,sienna.wilson49@mail.com,9:45 pm,D14
SHOW00030,TKT0116,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C003,Christchurch,V018,Charlotte,Patel,charlotte.patel18@mail.com,10:00 am,B8
SHOW00028,TKT0117,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C002,Wellington,V068,Ava,Brown,ava.brown68@mail.com,7:30 pm,A8
SHOW00129,TKT0118,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C001,Auckland,V041,Sophia,Wilson,sophia.wilson41@mail.com,4:00 pm,D15
SHOW00029,TKT0119,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C002,Wellington,V068,Ava,Brown,ava.brown68@mail.com,9:45 pm,D20
SHOW00005,TKT0120,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C001,Auckland,V062,Noah,Smith,noah.smith62@mail.com,9:45 pm,E16
SHOW00134,TKT0121,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C002,Wellington,V015,Jack,Scott,jack.scott15@mail.com,4:00 pm,A4
SHOW00094,TKT0122,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C003,Christchurch,V011,Olivia,Brown,olivia.brown11@mail.com,1:00 pm,B5
SHOW00116,TKT0123,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C003,Christchurch,V043,Ruby,Young,ruby.young43@mail.com,7:30 pm,E5
SHOW00144,TKT0124,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C004,Hamilton,V015,Jack,Scott,jack.scott15@mail.com,4:00 pm,D4
SHOW00121,TKT0125,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C004,Hamilton,V027,Ava,Taylor,ava.taylor27@mail.com,9:45 pm,E4
SHOW00147,TKT0126,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C005,Dunedin,V030,Sienna,Scott,sienna.scott30@mail.com,4:00 pm,D7
SHOW00099,TKT0127,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C004,Hamilton,V027,Ava,Taylor,ava.taylor27@mail.com,9:45 pm,G12
SHOW00036,TKT0128,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C004,Hamilton,V005,Emma,Taylor,emma.taylor5@mail.com,7:30 pm,D12
SHOW00085,TKT0129,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C001,Auckland,V060,Lucas,Wilson,lucas.wilson60@mail.com,1:00 pm,B8
SHOW00009,TKT0130,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C002,Wellington,V034,Jack,Fernando,jack.fernando34@mail.com,7:30 pm,D12
SHOW00003,TKT0131,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C001,Auckland,V015,Jack,Scott,jack.scott15@mail.com,4:00 pm,D2
SHOW00063,TKT0132,F004,The Last Kingdom,Ridley Scott,D004,Action,C001,Auckland,V037,Lucas,Chen,lucas.chen37@mail.com,10:00 am,A1
SHOW00148,TKT0133,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C005,Dunedin,V064,Amelia,Walker,amelia.walker64@mail.com,7:30 pm,E12
SHOW00102,TKT0134,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C005,Dunedin,V037,Lucas,Chen,lucas.chen37@mail.com,4:00 pm,C16
SHOW00145,TKT0135,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C004,Hamilton,V020,Liam,Taylor,liam.taylor20@mail.com,9:45 pm,A16
SHOW00114,TKT0136,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C003,Christchurch,V018,Charlotte,Patel,charlotte.patel18@mail.com,1:00 pm,G15
SHOW00144,TKT0137,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C004,Hamilton,V053,Ava,Smith,ava.smith53@mail.com,4:00 pm,D16
SHOW00010,TKT0138,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C002,Wellington,V066,Ava,Smith,ava.smith66@mail.com,9:45 pm,G6
SHOW00067,TKT0139,F004,The Last Kingdom,Ridley Scott,D004,Action,C001,Auckland,V002,Amelia,Lee,amelia.lee2@mail.com,9:45 pm,D8
SHOW00073,TKT0140,F004,The Last Kingdom,Ridley Scott,D004,Action,C003,Christchurch,V044,Olivia,Perera,olivia.perera44@mail.com,10:00 am,C9
SHOW00033,TKT0141,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C003,Christchurch,V016,Sienna,Perera,sienna.perera16@mail.com,7:30 pm,C1
SHOW00014,TKT0142,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C004,Hamilton,V062,Noah,Smith,noah.smith62@mail.com,7:30 pm,A11
SHOW00113,TKT0143,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C002,Wellington,V060,Lucas,Wilson,lucas.wilson60@mail.com,7:30 pm,F2
SHOW00099,TKT0144,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C004,Hamilton,V020,Liam,Taylor,liam.taylor20@mail.com,9:45 pm,G2
SHOW00045,TKT0145,F003,Midnight Escape,David Fincher,D003,Thriller,C001,Auckland,V026,Isla,Taylor,isla.taylor26@mail.com,7:30 pm,E8
SHOW00128,TKT0146,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C001,Auckland,V067,Jack,Young,jack.young67@mail.com,1:00 pm,D9
SHOW00090,TKT0147,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C002,Wellington,V042,Nathan,Walker,nathan.walker42@mail.com,4:00 pm,C3
SHOW00085,TKT0148,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C001,Auckland,V049,Sienna,Wilson,sienna.wilson49@mail.com,1:00 pm,B2
SHOW00073,TKT0149,F004,The Last Kingdom,Ridley Scott,D004,Action,C003,Christchurch,V058,Noah,Roberts,noah.roberts58@mail.com,10:00 am,E11
SHOW00131,TKT0150,F007,Cyber Pulse,James Cameron,D001,Sci-Fi,C001,Auckland,V043,Ruby,Young,ruby.young43@mail.com,9:45 pm,G2
SHOW00158,TKT0151,F008,Broken Paths,Sofia Coppola,D006,Drama,C002,Wellington,V057,Isla,Patel,isla.patel57@mail.com,9:45 pm,G9
SHOW00049,TKT0152,F003,Midnight Escape,David Fincher,D003,Thriller,C002,Wellington,V049,Sienna,Wilson,sienna.wilson49@mail.com,4:00 pm,C13
SHOW00094,TKT0153,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C003,Christchurch,V040,Daniel,Young,daniel.young40@mail.com,1:00 pm,F3
SHOW00097,TKT0154,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C004,Hamilton,V002,Amelia,Lee,amelia.lee2@mail.com,1:00 pm,E10
SHOW00124,TKT0155,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C005,Dunedin,V006,Daniel,Young,daniel.young6@mail.com,4:00 pm,F15
SHOW00120,TKT0156,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C004,Hamilton,V043,Ruby,Young,ruby.young43@mail.com,7:30 pm,C15
SHOW00088,TKT0157,F005,Laugh Out Loud,Taika Waititi,D002,Comedy,C002,Wellington,V024,Olivia,Brown,olivia.brown24@mail.com,10:00 am,F17
SHOW00005,TKT0158,F001,Shadow Horizon,Christopher Nolan,D008,Sci-Fi,C001,Auckland,V045,Charlotte,Scott,charlotte.scott45@mail.com,9:45 pm,C17
SHOW00108,TKT0159,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C001,Auckland,V033,Daniel,Scott,daniel.scott33@mail.com,7:30 pm,G4
SHOW00083,TKT0160,F004,The Last Kingdom,Ridley Scott,D004,Action,C005,Dunedin,V024,Olivia,Brown,olivia.brown24@mail.com,7:30 pm,G1
SHOW00031,TKT0161,F002,Ocean Hearts,Greta Gerwig,D005,Romance,C003,Christchurch,V003,Liam,Fernando,liam.fernando3@mail.com,1:00 pm,G20
SHOW00083,TKT0162,F004,The Last Kingdom,Ridley Scott,D004,Action,C005,Dunedin,V059,Daniel,Lee,daniel.lee59@mail.com,7:30 pm,B11
SHOW00112,TKT0163,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C002,Wellington,V020,Liam,Taylor,liam.taylor20@mail.com,4:00 pm,E14
SHOW00058,TKT0164,F003,Midnight Escape,David Fincher,D003,Thriller,C005,Dunedin,V022,Amelia,Brown,amelia.brown22@mail.com,10:00 am,G1
SHOW00118,TKT0165,F006,Silent Echoes,Denis Villeneuve,D007,Drama,C004,Hamilton,V005,Emma,Taylor,emma.taylor5@mail.com,10:00 am,B7
SHOW00166,TKT0166,F008,Broken Paths,Sofia Coppola,D006,Drama,C004,Hamilton,V043,Ruby,Young,ruby.young43@mail.com,7:30 pm,D17
